States/Uts,Drivers - Persons Killed - Number,Drivers - Persons Killed - Rank,Drivers - Persons Injured - Greviously Injured,Drivers - Persons Injured - Minor Injury,Drivers - Persons Injured - Total Injured,Passengers - Persons Killed - Number,Passengers - Persons Killed - Rank,Passengers - Persons Injured - Greviously Injured,Passengers - Persons Injured - Minor Injury,Passengers - Persons Injured - Total Injured
Andhra Pradesh,1736,9,1079,1863,2942,841,7,659,2086,2745
Arunachal Pradesh,18,27,46,10,56,13,25,35,8,43
Assam,452,15,590,45,635,123,17,263,23,286
Bihar,772,13,591,32,623,418,13,488,81,569
Chhattisgarh,2545,5,662,2848,3510,805,9,280,1844,2124
Goa,85,21,12,58,70,24,23,37,116,153
Gujarat,1947,8,1486,765,2251,719,10,820,595,1415
Haryana,261,17,159,376,535,204,16,237,248,485
Himachal Pradesh,126,20,156,127,283,48,19,98,154,252
Jharkhand,905,11,617,127,744,610,11,407,124,531
Karnataka,1623,10,2626,2046,4672,1038,4,1855,2013,3868
Kerala,279,16,383,102,485,219,15,1097,712,1809
Madhya Pradesh,3106,4,1266,9299,10565,1093,3,693,5436,6129
Maharashtra,3403,3,3031,1245,4276,1563,2,1817,818,2635
Manipur,11,29,12,29,41,7,29,10,31,41
Meghalaya,8,30,4,1,5,5,31,4,1,5
Mizoram,0,34,1,0,1,10,27,1,4,5
Nagaland,6,31,15,31,46,3,32,8,20,28
Orissa,868,12,758,346,1104,440,12,522,401,923
Punjab,679,14,286,200,486,337,14,164,100,264
Rajasthan,2019,7,984,1750,2734,890,6,603,1494,2097
Sikkim,1,33,0,0,0,1,34,0,0,0
Tamil Nadu,4898,1,4692,5726,10418,990,5,979,2952,3931
Telangana,2351,6,823,3927,4750,815,8,330,2221,2551
Tripura,33,25,66,0,66,10,27,17,0,17
Uttarakhand,176,19,110,17,127,69,18,113,15,128
Uttar Pradesh,4160,2,2702,1879,4581,2285,1,1758,1158,2916
West Bengal,245,18,365,41,406,47,20,94,21,115
Andaman and Nicobar Islands,0,34,0,0,0,0,35,0,0,0
Chandigarh,15,28,1,12,13,6,30,0,7,7
Dadra and Nagar Haveli,26,26,41,9,50,14,24,24,14,38
Daman and Diu,NA,NA,NA,NA,0,NA,NA,NA,NA,0
Delhi,35,23,6,110,116,27,22,9,93,102
Jammu and Kashmir,35,23,49,232,281,28,21,80,156,236
Ladakh,2,32,1,1,2,2,33,1,1,2
Lakshadweep,0,34,0,0,0,0,35,0,0,0
Puducherry,51,22,167,223,390,12,26,20,29,49
Total,32877,NA,23787,33477,57264,13716,NA,13523,22976,36499
